Brand,id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,coordinates
0,1.31E+18,Mon Sep 14 22:24:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",India wants @Apple’s #iPhone supply chain. Apple assemblers are among the short list of names who will get a slice… https://t.co/SQuqjmY4C5,India wants supply chain Apple assemblers among short list names get slice,"Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2,en,0,0,sanjaykalra,FALSE,iPhone,Apple,"San Francisco, CA",
0,1.31E+18,Mon Sep 14 22:24:17 +0000 2020,"<a href=""https://app.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","#Apple Confirms Solid New #iOS14 Security Move To Help Make #Apps Safer 

#cybersecurity

https://t.co/rXtl9FmmzK",Confirms Solid New Security Move To Help Make Safer //,"Sentiment(polarity=0.06818181818181818, subjectivity=0.2772727272727273)",0.068181818,0.277272727,en,0,0,barryshess,FALSE,"Apple, iOS14, Apps, cybersecurity",,,
0,1.31E+18,Mon Sep 14 22:22:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @FitTrakker: FitTrakker is finally LIVE on App Store! Get more info and download the FitTrakker App fir a free 30-day trial at https://t…,FitTrakker finally LIVE App Store Get info download FitTrakker App fir free -day trial,"Sentiment(polarity=0.2681818181818182, subjectivity=0.65)",0.268181818,0.65,en,0,3,MavrekNY,,,FitTrakker,"New York, NY",
0,1.31E+18,Mon Sep 14 22:21:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jsblokland: #Apple is now the fourth biggest ‘stock market’ on earth! ht @ChrisB_IG https://t.co/pXGQJ2Q6yP,fourth biggest stock market earth ht,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,55,giacomomoroni1,FALSE,Apple,"jsblokland, ChrisB_IG",,
0,1.31E+18,Mon Sep 14 22:21:34 +0000 2020,"<a href=""https://homeinc.com"" rel=""nofollow"">forRetweeting</a>",RT @NcsVentures: #mobilesecurity | #android | #iphone | Northrop Grumman ends OmegA rocket program – Spaceflight Now https://t.co/ZbMnfZXN2w,Northrop Grumman ends OmegA rocket program SpaceflightNow,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,3,CyberSecurityN8,FALSE,"mobilesecurity, android, iphone",NcsVentures,,
0,1.31E+18,Mon Sep 14 22:20:46 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TiffanyPhoto1: .@tim_cook Any idea how/why my phone would do this, as @TwitterSafety @Twitter ‘s only response is to Shadowban @shadowb…",Any idea how/why phone would response Shadowban,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,2,TiffanyPhoto1,,,"TiffanyPhoto1, tim_cook, TwitterSafety, Twitter","San Diego, CA",
0,1.31E+18,Mon Sep 14 22:20:02 +0000 2020,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",This One #Apple Variety Tops the Charts In The Battle of the Bulge https://t.co/XMc6ZKlBsF #nutrition #wellness #health,This One Variety Tops Charts In The Battle Bulge,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,DanetteFitness,FALSE,"Apple, nutrition, wellness, health",,"Vail, CO",
0,1.31E+18,Mon Sep 14 22:20:00 +0000 2020,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",On Sale Now ~ CITY OF THE DEAD @eileendreyer #murdermystery #forensicsuspense #medicalthriller #kindle… https://t.co/vqHxb5Feri,On Sale Now CITY OF THE DEAD,"Sentiment(polarity=-0.2, subjectivity=0.4)",-0.2,0.4,en,2,0,eileendreyer,FALSE,"murdermystery, forensicsuspense, medicalthriller, kindle",eileendreyer,Whereever my muse drives me.,
0,1.31E+18,Mon Sep 14 22:19:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @appleinsider: A group representing the digital media and advertising industry has penned an open letter to #Apple urging a dialogue ahe…,A group representing digital media advertising industry penned open letter urging dialogue ahe,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25,en,0,8,Shoeray,,Apple,appleinsider,"Bricket Wood, ",
0,1.31E+18,Mon Sep 14 22:19:31 +0000 2020,"<a href=""http://taragana.com"" rel=""nofollow"">Prof. Shanku</a>","US Customs isn’t backing down, says seized OnePlus Buds violate #Apple AirPods TM https://t.co/GbuQyKRoj1",US Customs isnt backing says seized OnePlus Buds violate AirPods TM,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,angsuman,FALSE,Apple,,,
